standard_id,designation,title,publisher,record_type,country_scope,primary_category,latest_known_edition,applicability,summary,official_url,source_download_url,notes
AUC-RULES,AUC Rules,AUC Rules,Alberta Utilities Commission (AUC),rule_collection,Canada - Alberta,AUC regulatory rules,current,AUC requirements and processes for regulated utilities under AUC jurisdiction,Public AUC rules collection covering utility regulatory procedure facility applications service quality billing codes micro-generation penalties and related utility obligations.,https://www.auc.ab.ca/rules/rules-home/,,Use child records for individual AUC rules.
AUC-STANDARD-CODES,AUC Standard Codes,Standard Codes,Alberta Utilities Commission (AUC),code_collection,Canada - Alberta,AUC retail market codes,current,Applies to Rule 004 tariff billing code requirements,Public AUC reference page for standard codes used to support timely and accurate tariff billing information under Rule 004.,https://www.auc.ab.ca/standard-codes,,AUC page directs users to Rule 004.
AUC-RULE-001,AUC Rule 001,Rules of Practice,Alberta Utilities Commission (AUC),rule,Canada - Alberta,AUC hearing and practice rules,2025-07-01,Applies to AUC proceedings and practice requirements,Rules of Practice for AUC processes hearings filings evidence confidentiality participation and related procedural matters.,https://www.auc.ab.ca/rules/rule001/,https://media.auc.ab.ca/prd-wp-uploads/regulatory_documents/Consultations/2025-07-01-Rule001.pdf,Effective July 1 2025 on AUC rule page.
AUC-RULE-002,AUC Rule 002,Service Quality and Reliability Performance Monitoring and Reporting for Owners of Electric Distribution Systems and for Gas Distributors,Alberta Utilities Commission (AUC),rule,Canada - Alberta,AUC service quality and reliability,2020-12-17,Applies to electric distribution system owners and gas distributors under AUC jurisdiction,AUC rule for service quality reliability performance monitoring and reporting by electric distributors and gas distributors.,https://www.auc.ab.ca/rules/rule002/,https://media.auc.ab.ca/prd-wp-uploads/regulatory_documents/Consultations/Rule002.pdf,Effective December 17 2020 on AUC rule page.
AUC-RULE-003,AUC Rule 003,Service Quality Reporting for Energy Service Providers,Alberta Utilities Commission (AUC),rule,Canada - Alberta,AUC service quality reporting,2020-12-17,Applies to energy service providers under AUC jurisdiction,AUC rule for service quality reporting by energy service providers including customer care and outage related reporting.,https://www.auc.ab.ca/rules/rule003/,https://media.auc.ab.ca/prd-wp-uploads/regulatory_documents/Consultations/Rule003.pdf,Effective December 17 2020 on AUC rule page.
AUC-RULE-004,AUC Rule 004,Alberta Tariff Billing Code,Alberta Utilities Commission (AUC),rule,Canada - Alberta,AUC retail billing code,2020-01-01,Applies to tariff bill-ready information and retail electricity and natural gas market billing processes,AUC tariff billing code rule for business processes and information exchange between regulated distributors and retailers.,https://www.auc.ab.ca/rules/rule004/,https://media.auc.ab.ca/prd-wp-uploads/regulatory_documents/Consultations/Rule004.pdf,Effective January 1 2020 on AUC rule page.
AUC-RULE-005,AUC Rule 005,Annual Reporting Requirements of Financial and Operational Results,Alberta Utilities Commission (AUC),rule,Canada - Alberta,AUC financial and operational reporting,2021-03-31,Applies to annual reporting by regulated utilities and regulated or default supply providers,AUC rule for annual financial and operational reporting schedules revenue requirement rate base financial statements and related utility results.,https://www.auc.ab.ca/rules/rule005/,https://media.auc.ab.ca/prd-wp-uploads/regulatory_documents/Consultations/Rule005.pdf,Effective March 31 2021 on AUC rule page.
AUC-RULE-006,AUC Rule 006,Rules on Regulatory Audits,Alberta Utilities Commission (AUC),rule,Canada - Alberta,AUC regulatory audits,2020-08-03,Applies to AUC regulatory audit processes,AUC rule for regulatory audits of entities and matters under Commission jurisdiction.,https://www.auc.ab.ca/rules/rule006/,https://media.auc.ab.ca/prd-wp-uploads/regulatory_documents/Consultations/Rule006.pdf,Effective August 3 2020 on AUC rule page.
AUC-RULE-007,AUC Rule 007,Facility Applications,Alberta Utilities Commission (AUC),rule,Canada - Alberta,AUC facility applications,2025-11-06,Applies to specified facility applications including power plants substations transmission lines industrial system designations hydro developments and gas utility pipelines,AUC rule for facility application requirements public involvement environmental information and filing expectations for regulated facilities.,https://www.auc.ab.ca/rules/rule007/,https://media.auc.ab.ca/prd-wp-uploads/regulatory_documents/Consultations/Rule007.pdf,Effective November 6 2025 on AUC rule page.
AUC-RULE-008,AUC Rule 008,Rules Respecting Use of Abbreviated Needs Process,Alberta Utilities Commission (AUC),historical_rule,Canada - Alberta,AUC historical rules,2015-04-01,No longer in effect,AUC historical rule for the abbreviated needs process that the AUC rules home page says was repealed on April 1 2015.,https://www.auc.ab.ca/rules/rules-home/,https://media.auc.ab.ca/prd-wp-uploads/regulatory_documents/Consultations/Rule008.pdf,Historical public AUC-hosted PDF URL confirmed but rule is no longer in effect.
