standard_id,designation,title,publisher,record_type,country_scope,primary_category,latest_known_edition,applicability,summary,official_url,source_download_url,notes
WECC-0153,WECC-0153,INT Consolidated Criterion,WECC,regional_criterion,Western Interconnection,WECC regional criterion - Interchange Scheduling and Coordination,2024-07-09,WECC regional criteria or supporting material for the Western Interconnection where applicable,WECC regional criterion in the INT family addressing int consolidated criterion for the Western Interconnection.,https://www.wecc.org/wecc-document/6926,https://www.wecc.org/sites/default/files/documents/standards/2024/INT%20Consolidated%20Criterion%20WECC-0153.pdf,Extracted from WECC Standards page section: Approved Regional Criteria. WECC source listed modified date 2024-07-09. WECC document status: Approved/Final. WECC categorization policy: Regional Criteria.
WECC-ATTACHMENT-A-REPORTING-FORM,Attachment A Reporting Form,Regional Criteria Attachment A Reporting Form,WECC,criteria_support_document,Western Interconnection,WECC regional criterion support,2024-07-09,WECC regional criteria or supporting material for the Western Interconnection where applicable,WECC reporting form associated with regional criteria support documentation.,https://www.wecc.org/wecc-document/6931,https://www.wecc.org/sites/default/files/documents/standards/2024/2024%20PRC-006%20Attachment%20A.xlsx,Extracted from WECC Standards page section: Approved Regional Criteria. WECC source listed modified date 2024-07-09. WECC document status: Approved/Final. WECC categorization policy: Regional Criteria.
WECC-BAL-004-WECC-3,BAL-004-WECC-3,Automatic Time Error Correction,WECC,historical_regional_standard,Western Interconnection,WECC regional reliability standard - Historical or superseded,2018-10-01,Historical WECC regional reliability requirement; newer version tracked separately where listed by WECC,Historical WECC regional reliability standard in the BAL family addressing automatic time error correction; a newer WECC-listed version is tracked separately.,https://www.wecc.org/wecc-document/6886,https://www.wecc.org/sites/default/files/documents/standards/2024/BAL-004-WECC-3.pdf,"Extracted from WECC Standards page section: Approved Regional Standards, Variances, and Interpretations. WECC source listed modified date 2024-07-09. WECC document status: Approved/Final. WECC categorization policy: Regional Reliability Standard. Classified as historical because WECC also lists BAL-004-WECC-4 with a later effective date."
WECC-BAL-004-WECC-4,BAL-004-WECC-4,Automatic Time Error Correction,WECC,regional_standard,Western Interconnection,WECC regional reliability standard - Resource and Demand Balancing,2025-10-01,WECC regional reliability requirement or variance for the Western Interconnection where approved by the applicable authority,WECC regional reliability standard in the BAL family addressing automatic time error correction for resource and demand balancing requirements.,https://www.wecc.org/wecc-document/23016,https://www.wecc.org/sites/default/files/documents/standards/2025/WECC-0147%20BAL-004-WECC-4%20ATEC%20-%20Attachment%20C%20-%20Clean%20As%20Proposed%20with%20Non-Sub%20NERC%20Change.pdf,"Extracted from WECC Standards page section: Approved Regional Standards, Variances, and Interpretations. WECC source listed modified date 2025-08-07. WECC document status: Approved/Final. WECC categorization policy: Regional Reliability Standard."
WECC-COM-001-WECC-CRT-4,COM-001-WECC-CRT-4,Digital Circuit Synchronization,WECC,regional_criterion,Western Interconnection,WECC regional criterion - Communications,2024-07-09,WECC regional criteria or supporting material for the Western Interconnection where applicable,WECC regional criterion in the COM family addressing digital circuit synchronization for the Western Interconnection.,https://www.wecc.org/wecc-document/6941,https://www.wecc.org/sites/default/files/documents/standards/2024/COM-001-WECC-CRT-4.pdf,Extracted from WECC Standards page section: Approved Regional Criteria. WECC source listed modified date 2024-07-09. WECC document status: Approved/Final. WECC categorization policy: Regional Criteria.
WECC-FAC-010-2-1,FAC-010-2.1,System Operating Limits Methodology for the Planning Horizon,WECC,regional_standard,Western Interconnection,"WECC regional reliability standard - Facilities Design, Connections, and Maintenance",2024-07-09,WECC regional reliability requirement or variance for the Western Interconnection where approved by the applicable authority,"WECC regional reliability standard in the FAC family addressing system operating limits methodology for the planning horizon for facilities design, connections, and maintenance requirements.",https://www.wecc.org/wecc-document/6876,https://www.wecc.org/sites/default/files/documents/standards/2024/FAC-010-2.1.pdf,"Extracted from WECC Standards page section: Approved Regional Standards, Variances, and Interpretations. WECC source listed modified date 2024-07-09. WECC document status: Approved/Final. WECC categorization policy: Regional Reliability Standard."
WECC-FAC-011-2,FAC-011-2,System Operating Limits Methodology for the Operations Horizon,WECC,regional_standard,Western Interconnection,"WECC regional reliability standard - Facilities Design, Connections, and Maintenance",2024-07-09,WECC regional reliability requirement or variance for the Western Interconnection where approved by the applicable authority,"WECC regional reliability standard in the FAC family addressing system operating limits methodology for the operations horizon for facilities design, connections, and maintenance requirements.",https://www.wecc.org/wecc-document/6866,https://www.wecc.org/sites/default/files/documents/standards/2024/FAC-011-2.pdf,"Extracted from WECC Standards page section: Approved Regional Standards, Variances, and Interpretations. WECC source listed modified date 2024-07-09. WECC document status: Approved/Final. WECC categorization policy: Regional Reliability Standard."
WECC-FAC-501-WECC-2,FAC-501-WECC-2,Transmission Maintenance,WECC,historical_regional_standard,Western Interconnection,WECC regional reliability standard - Historical or superseded,2024-07-09,Historical WECC regional reliability requirement; newer version tracked separately where listed by WECC,Historical WECC regional reliability standard in the FAC family addressing transmission maintenance; a newer WECC-listed version is tracked separately.,https://www.wecc.org/wecc-document/6841,https://www.wecc.org/sites/default/files/documents/standards/2024/FAC-501-WECC-2.pdf,"Extracted from WECC Standards page section: Approved Regional Standards, Variances, and Interpretations. WECC source listed modified date 2024-07-09. WECC document status: Approved/Final. WECC categorization policy: Regional Reliability Standard. Classified as historical because WECC also lists FAC-501-WECC-4 with a later effective date."
WECC-FAC-501-WECC-4,FAC-501-WECC-4,Transmission Maintenance,WECC,regional_standard,Western Interconnection,"WECC regional reliability standard - Facilities Design, Connections, and Maintenance",2025-01-01,WECC regional reliability requirement or variance for the Western Interconnection where approved by the applicable authority,"WECC regional reliability standard in the FAC family addressing transmission maintenance for facilities design, connections, and maintenance requirements.",https://www.wecc.org/wecc-document/15121,https://www.wecc.org/sites/default/files/documents/standards/2024/FAC-501-WECC-4%20As%20Approved%20Effective%2001-01-2025.pdf,"Extracted from WECC Standards page section: Approved Regional Standards, Variances, and Interpretations. WECC source listed modified date 2024-12-11. WECC document status: Approved/Final. WECC categorization policy: Regional Reliability Standard."
WECC-IRO-002-6,IRO-002-6,Reliability Coordination - Monitoring and Analysis - Regional Variance,WECC,historical_regional_standard,Western Interconnection,WECC regional reliability standard - Historical or superseded,2020-01-01,Historical WECC regional reliability requirement; newer version tracked separately where listed by WECC,Historical WECC regional reliability standard in the IRO family addressing reliability coordination - monitoring and analysis - regional variance; a newer WECC-listed version is tracked separately.,https://www.wecc.org/wecc-document/6891,https://www.wecc.org/sites/default/files/documents/standards/2024/IRO-002-6%20RC%20-%20Monitoring%20and%20Analysis%20-%20RV%20Effective%20January%201%2C%202020.pdf,"Extracted from WECC Standards page section: Approved Regional Standards, Variances, and Interpretations. WECC source listed modified date 2024-07-09. WECC document status: Approved/Final. WECC categorization policy: Regional Reliability Standard. Classified as historical because WECC also lists IRO-002-7 with a later effective date."
